Which of the following SQL commands will delete all records from a table named customers but retain the table structure?,DROP TABLE customers;,TRUNCATE TABLE customers;,DELETE TABLE customers;,REMOVE ALL FROM customers;,TRUNCATE TABLE customers;,understanding,easy
 In which SQL command would you use the WHERE clause?,Insert,Update,Create,Alter,Update,memory,easy
What is the default sort order of the ORDER BY clause?, DESC,ASC,RANDOM,NONE,ASC,memory,easy
Which SQL command is used to add a new column to an existing table?,ADD COLUMN,NEW COLUMN,INSERT COLUMN,ALTER TABLE,ALTER TABLE,memory,medium
Which data type is used to store text values in MySQL?,Char,Int,Float,Bool,Char,understanding,medium
"SELECT emp_name
FROM department
WHERE dept_name LIKE ’ _____ Computer Science’;
Which one of the following has to be added into the blank to select the dept_name which has Computer Science as its ending string?",%, _,||, $,%,understanding,hard
Which keyword is used to join two tables in SQL?,connect,link,join,combine,join,memory,easy
Which MySQL function returns the current date and time?,now(),date(),today(),timestamp(),now(),memory,medium
Which command is used to back up a MySQL database?,backup database,save database,mysqldump,mysqlsave,mysqldump,understanding,hard
"SELECT name
FROM instructor
WHERE dept name = ’Physics’
ORDER BY name;
By default, the order by clause lists items in ______ order.",DESCENDING,SAME,ASCENDING,ANY,ASCENDING,example,easy
"SELECT *
FROM instructor
ORDER BY salary ____, name ___;
To display the salary from greater to smaller and name in ascending order which of the following options should be used?"," Ascending, Descending","Asc, Desc","Desc, Asc","Descending, Ascending","Desc, Asc",example,easy
"SELECT name
FROM instructor
WHERE salary <= 100000 AND salary >= 90000;
This query can be replaced by which of the following ?","SELECT name
FROM instructor
WHERE salary BETWEEN 90000 AND 100000;","SELECT name
FROM employee
WHERE salary <= 90000 AND salary>=100000;","SELECT name
FROM employee
WHERE salary BETWEEN 90000 AND 100000;","SELECT name
FROM instructor
WHERE salary BETWEEN 100000 AND 90000;","SELECT name
FROM instructor
WHERE salary BETWEEN 90000 AND 100000;",example,medium
" For like predicate which of the following is true.

i) % matches zero OF more characters.
ii) _ matches exactly one CHARACTER.",i-only, ii-only, i & ii,NONE, i & ii,understanding,medium
Which operator is used to compare if two values are not equal?,!=,<>, ><,Both A and B,Both A and B,understanding,medium
Which MySQL data type is used to store large blocks of text?,text,largetext,char,bigchar,text,memory,hard
________ locking mechanisms in MySQL ensure data consistency by preventing concurrent transactions from conflicting with each other's modifications.,optimistic,row-level,pessimistic,table-level,row-level,fill ups,hard
Is a semicolon necessary after every query?,TRUE,FALSE,MAYBE,DON'T KNOW,TRUE,understanding,medium
"(SELECT course id
FROM SECTION
WHERE semester = ’Fall’ AND YEAR= 2009)
EXCEPT
(SELECT course id
FROM SECTION
WHERE semester = ’Spring’ AND YEAR= 2010);
This query displays",Only tuples from second part,Only tuples from the first part which has the tuples from second part,Tuples from both the parts,Tuples from first part which do not have second part,Tuples from first part which do not have second part,example,hard
 The number of attributes in relation is called as its,CARDINALITY,DEGREE,TUPLES,ENTITY,DEGREE,memory,hard
"_______ partitioning allows for dividing a large table horizontally based on a specific column, potentially improving query performance and manageability.",sharding,denormalization, normalization,horizontal,horizontal,fill ups,easy
_____ clause is an additional filter that is applied to the result.,SELECT,GROUP BY,ORDER BY,HAVING,HAVING,fill ups,easy
To see all the databases which command is used?, Show database;, Show databases;, Show database();, Show_all database;,A. Show databases;,understanding,medium
"In the following statement, what do you mean by the 'student'?

USE student;",DATABASE NAME,TABLE NAME,ROW NAME,TUPLE NAME,DATABASE NAME,example,easy
"Suppose you have a table named to test and inside this table you have a column named CGPA now if you are asked to change the column named CGPA to total percentage, using alter command then which of the following statement you will write?", ALTER TABLE test CHANGE COLUMN 'cgpa’ 'total_percentage’ int;,"ALTER test table CHANGE 'cgpa’ ,'total_percentage’ int;", ALTER TABLE test CHANGE 'cgpa 'total_percentage’ int;,NONE, ALTER TABLE test CHANGE COLUMN 'cgpa’ 'total_percentage’ int;,understanding,easy
"A(n) ________ view provides a virtual table based on a predefined query, potentially hiding complexity or filtering data for specific users.",materialized,indexed,updatable,derived,derived,fill ups,medium
Suppose you are asked to drop a column using alter statement then which syntax you will follow?, ALTER table_name TABLE DROP COLUMN column_name;, ALTER TABLE table_name DROP COLUMN column_name;,BOTH,NONE, ALTER TABLE table_name DROP COLUMN column_name;,understanding,medium
What does the show tables command do?, It displays all the tables of all the databases in the machine., It displays all the tables of a particular database., It only displays the current table.,NONE, It displays all the tables of a particular database.,memory,easy
What is the function of DESCRIBE statement?,This statement helps us to get the details of the entire row.,This statement helps us to get the definition of all the tables.,This statement helps us to get the definition of a particular table at a time.,NONE,This statement helps us to get the definition of a particular table at a time.,memory,hard
_________ joins are SQL server default,OUTER,INNER JOIN,EQUI,NONE,INNER JOIN,fill ups,easy
The _____________ is essentially used to search for patterns in target string.,LIKE PREDICATE,NULL PREDICATE,IN PREDICATE,OUT PREDICATE,LIKE PREDICATE,fill ups,hard
"The ________ join type returns all rows from the left table, even if there's no matching data in the right table (on the join condition).",inner, right outer,full outer,left outer,left outer,fill ups,easy
If you are asked to delete the entire data of a table without disturbing the table definition then in such case which statement you will use?,DELETE,TRUNCATE,DROP,NONE,TRUNCATE,memory,medium
Which of the following is the correct syntax for using the TRUNCATE statement?, TUNCATE TABLE-NAME;, TRUNCATE TABLE-NAME DATABASE-NAME;, TRUNCATE TABLE TABLE-NAME;, TRUNCATE DATABASE-NAME TABLE-NAME;, TRUNCATE TABLE TABLE-NAME;,understanding,medium
From all the clauses in MYSQL what task is performed by the DISTINT clause?, It returns us the duplicate values, It returns us the unique values, It returns us the NULL values;,NONE, It returns us the unique values,understanding,hard
Suppose you have 1000 records and you only want 100 records which of the following clause you will use?,SET LIMIT,LIMIT,HAVING,GROUP BY,LIMIT,memory,medium
"What will the following statement return?

SELECT * FROM student_details WHERE Student_name LIKE 'S%';
Where student_details is the table name and student_name is the column name?",It will return the name starting with s,It will return the name ending with s,It will return the name who has s in between,NONE,A. It will return the name starting with s,understanding,easy
"The ________ engine in MySQL is optimized for handling large datasets and complex queries, offering efficient indexing and storage mechanisms.", MyISAM,MEMORY, InnoDB,ARCHIVE, InnoDB,fill ups,medium
"What will the following statement return?

SELECT * FROM student_details WHERE Student_name LIKE 'S%';
Where student_details is the table name and student_name is the column name?", It will return the name starting with s, It will return the name ending with s, It will return the name who has s in between,NONE, It will return the name starting with s,understanding,easy
 Suppose you are asked to display all the names which have 'a' as their second character then which query pattern you will use?,_ _ a%;,_a_;,_a%;,_%a;,_a%;,understanding,hard
 If you are asked to find out the names which only have 5 characters then what query pattern you will use?,%%%%%,_%_%_,_____,NONE, _____,understanding,hard
"The ________ function aggregates data from multiple rows into a single value, commonly used with the GROUP BY clause.",HAVING,ORDER BY,HAVING,JOIN,HAVING,memory,easy
Which key is commonly known as a subset of a super key?, Candidate key, Foreign key, Primary key, Unique key, Candidate key,memory,easy
 Which operator checks whether the particular condition record exists in the table or not?,exists,is null,not null,in,exists,memory,easy
"A(n) ________ transaction is a series of database operations treated as a single unit. If any part fails, the entire transaction is rolled back.",permanent,partial,atomic,incremental,atomic,fill ups,hard
Which of the following syntax you will use to rename the table name?,ALTER TABLE table_name RENAME TO new_table_name;,RENAME new_table_name;,ALTER table_name RENAME new_table_name;,none,ALTER TABLE table_name RENAME TO new_table_name;,understanding,medium
'MYSQL is the open source software' - What do you mean by this statement?, This means anyone can use this software., This means anyone can use this software., This means it gives the best security features,NONE, This means anyone can use this software.,understanding,easy
Which SQL command is used for granting or revoking the rights?,DML,DDL,DCL,DQL,DCL,memory,medium
"The ________ statement allows you to define a stored procedure, encapsulating a set of SQL statements for reusability and potentially improved performance.",CREATE FUNCTION, CREATE TRIGGER,CREATE PROCEDURE, CREATE VIEW,CREATE PROCEDURE,fill ups,easy
Which MySQL function is used to get the current date and time?, DATETIME(),TODAY(), DATE(),NOW(),NOW(),memory,medium
SELECT is a type of which SQL command?,DML,DQL,DDL,DCL,DQL,memory,hard
 If you want to add a row in a table then which command you will use?, INSERT INTO,ADD,ALTER,CREATE, INSERT INTO,memory,easy
Which type of join combines the result from both the tables and returns us the Cartesian product of the values?,RIGHT JOIN,LEFT JOIN,INNER JOIN,CROSS JOIN,CROSS JOIN,memory,easy
Which of the following data type is used when it comes to store images in your database?,BIG INT ,BLOB,VARCHAR,INT,BLOB,understanding,hard
"The ________ statement is used to grant specific permissions (e.g., SELECT, INSERT, DELETE) on tables or databases to users or roles.",alter user,show grants,grant,revoke,grant,fill ups,medium
To know your MYSQL version and current date which of the following command you should use?,"VERSION, CURRENT_DATE();","SELECT VERSION, CURRENTDATE();","SELECT VERSION(), CURRENT_DATE;","SELECT VERSON(),CURRENT_DATE();","SELECT VERSION(), CURRENT_DATE;",understanding,medium
In which form MYSQL query results are displayed?,list,tuple,rows and columns,list and tuples both,rows and columns,memory,easy
________ helps to minimize data redundancy and improve data integrity in a relational database.,Denormalization,Normalization,Aggregation, Replication,Normalization,fill ups,medium
"In MYSQL, can we write keywords in any letter case?",YES,NO,MAYBE,DON'T KNOW,YES,understanding,easy
If you want to stop the processing query then which of the following command you should use?,QUIT,STOP,/c,C AND D BOTH,/c,memory,hard
SELECT select_list FROM table_list WHERE row_constraint GROUP BY grouping_columns; Which of these is not optional?,select_list,table_list,row_constraint,grouping_columns,select_list,understanding,medium
MySQL utilizes ________ to improve query performance by efficiently accessing frequently used data structures.,indexes,caching mechanisms,caching mechanisms,stored procedures,indexes,fill ups,hard
"In inner join, result is produced by matching rows in one table with rows in another table.",TRUE,FALSE,MAYBE,DON'T KNOW,TRUE,understanding,easy
The join where all possible row combinations are produced is called _________,OUTER,NATURAL,INNER JOIN,CARTESIAN,CARTESIAN,memory,hard
The clause that filters JOIN results is called _________,WHERE ,SORT,GROUP BY,GROUP,WHERE ,memory,easy
"A(n) ________ schema defines the physical layout of data storage, including file organization and access methods.",conceptual,physical,logical,none,physical,fill ups,medium
CROSS JOIN and JOIN are similar to __________,INNER JOIN,NATURAL JOIN,OUTER JOIN,CARTESIAN JOIN,INNER JOIN,fill ups,easy
The comma operator can also be used to join tables.,TRUE,FALSE,MAYBE,DON'T KNOW,TRUE,understanding,medium
"The ________ data type is ideal for storing large text content, such as articles or product descriptions.",varchar,char,int,text,text,fill ups,easy
What is joining a table to itself called?,COMPLETE,SELF,OBSOLETE,CROSS,SELF,memory,easy
 In which join all the rows from the left table appear in the output irrespective of the content of the other table?,RIGHT JOIN,LEFT JOIN,INNER JOIN,OUTER JOIN,LEFT JOIN,memory,medium
The join in which all the rows from the right table appear in the output irrespective of the content of the other table is ___________,CARTESIAN JOIN, CROSS JOIN, INNER JOIN,RIGHT JOIN,RIGHT JOIN,memory,easy
"MySQL supports ________ triggers, which automatically execute predefined SQL statements in response to specific database events (e.g., INSERT, UPDATE).",recursive,cascading,data-driven,scheduled,data-driven,fill ups,hard
